CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
"One-Class SVM: {'gamma': 'scale', 'kernel': 'sigmoid', 'nu': 0.001}",0.6527777777777778,0.6527777777777778,0.6527777777777778,0.0003878606690300836,0.00019313229454888238
"One-Class SVM: {'gamma': 0.01, 'kernel': 'sigmoid', 'nu': 0.001}",0.650462962962963,0.650462962962963,0.650462962962963,0.0005786948733859592,0.0002544191148546007
"One-Class SVM: {'gamma': 0.1, 'kernel': 'sigmoid', 'nu': 0.001}",0.6203703703703703,0.6203703703703703,0.6203703703703703,0.00038988060421413847,9.875165091620552e-05
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 1e-09, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 100, 'random_state': 1}",0.6157407407407408,0.6157407407407408,0.6157407407407408,0.22614020109176636,0.054000788264804415
"One-Class SVM: {'gamma': 'auto', 'kernel': 'sigmoid', 'nu': 0.001}",0.587962962962963,0.587962962962963,0.587962962962963,0.0003075599670410156,0.00028179089228312176
"One-Class SVM: {'gamma': 0.5, 'kernel': 'poly', 'nu': 0.001}",0.5810185185185186,0.5810185185185186,0.5810185185185186,0.0004741085900200738,0.00016316440370347764
"One-Class SVM: {'gamma': 5.0, 'kernel': 'poly', 'nu': 0.001}",0.5740740740740741,0.5740740740740741,0.5740740740740741,0.0006612406836615668,8.380413055419922e-05
"One-Class SVM: {'gamma': 0.5, 'kernel': 'sigmoid', 'nu': 0.001}",0.5671296296296297,0.5671296296296297,0.5671296296296297,0.00033269325892130536,0.00017360846201578775
"One-Class SVM: {'gamma': 1.0, 'kernel': 'sigmoid', 'nu': 0.001}",0.5671296296296297,0.5671296296296297,0.5671296296296297,0.0003571775224473741,0.00016570091247558594
"One-Class SVM: {'gamma': 10.0, 'kernel': 'poly', 'nu': 0.001}",0.5648148148148148,0.5648148148148148,0.5648148148148148,0.0007316536373562283,0.0001066989368862576
"One-Class SVM: {'gamma': 1.0, 'kernel': 'poly', 'nu': 0.001}",0.5578703703703703,0.5578703703703703,0.5578703703703703,0.0006073713302612305,0.00016629033618503145
"One-Class SVM: {'gamma': 'auto', 'kernel': 'poly', 'nu': 0.001}",0.5555555555555556,0.5555555555555556,0.5555555555555556,0.00039054287804497615,0.00014058748881022135
"One-Class SVM: {'gamma': 'auto', 'kernel': 'linear', 'nu': 0.001}",0.5393518518518519,0.5393518518518519,0.5393518518518519,0.00035636954837375216,0.0001964635319179959
"One-Class SVM: {'gamma': 0.5, 'kernel': 'linear', 'nu': 0.001}",0.5393518518518519,0.5393518518518519,0.5393518518518519,0.0004182259241739909,0.00019607279035780166
"One-Class SVM: {'gamma': 1.0, 'kernel': 'linear', 'nu': 0.001}",0.5393518518518519,0.5393518518518519,0.5393518518518519,0.00037174754672580294,0.00019596682654486762
"One-Class SVM: {'gamma': 0.1, 'kernel': 'linear', 'nu': 0.001}",0.5393518518518519,0.5393518518518519,0.5393518518518519,0.0004444254769219293,0.00013671980963812934
"One-Class SVM: {'gamma': 10.0, 'kernel': 'linear', 'nu': 0.001}",0.5393518518518519,0.5393518518518519,0.5393518518518519,0.000471088621351454,0.00022102064556545683
"One-Class SVM: {'gamma': 0.01, 'kernel': 'linear', 'nu': 0.001}",0.5393518518518519,0.5393518518518519,0.5393518518518519,0.0003015266524420844,0.00019060240851508247
"One-Class SVM: {'gamma': 0.001, 'kernel': 'linear', 'nu': 0.001}",0.5393518518518519,0.5393518518518519,0.5393518518518519,0.0003609988424513075,0.00014136234919230142
"One-Class SVM: {'gamma': 'scale', 'kernel': 'linear', 'nu': 0.001}",0.5393518518518519,0.5393518518518519,0.5393518518518519,0.0005515350235833062,0.00010634793175591363
"One-Class SVM: {'gamma': 5.0, 'kernel': 'linear', 'nu': 0.001}",0.5393518518518519,0.5393518518518519,0.5393518518518519,0.0003007517920600043,0.00013839536243014864
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'linear', 'nu': 0.001}",0.5393518518518519,0.5393518518518519,0.5393518518518519,0.0005576809247334799,0.00013685888714260526
"One-Class SVM: {'gamma': 'scale', 'kernel': 'poly', 'nu': 0.001}",0.537037037037037,0.537037037037037,0.537037037037037,0.0005566808912489149,0.00013891193601820205
"One-Class SVM: {'gamma': 10.0, 'kernel': 'sigmoid', 'nu': 0.001}",0.5300925925925926,0.5300925925925926,0.5300925925925926,0.00041593445671929256,0.00011039442486233181
"One-Class SVM: {'gamma': 5.0, 'kernel': 'sigmoid', 'nu': 0.001}",0.525462962962963,0.525462962962963,0.525462962962963,0.0004736251301235623,0.00030858649147881404
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'manhattan', 'n_neighbors': 20, 'novelty': True}",0.5185185185185186,0.5185185185185186,0.5185185185185186,0.0042229096094767255,0.004169040256076389
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'l1', 'n_neighbors': 20, 'novelty': True}",0.5185185185185186,0.5185185185185186,0.5185185185185186,0.0044041673342386884,0.00391665432188246
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'cityblock', 'n_neighbors': 20, 'novelty': True}",0.5185185185185186,0.5185185185185186,0.5185185185185186,0.004473672972785102,0.004142589039272732
"Envelope Elíptico: {'assume_centered': False, 'contamination': 0.01, 'random_state': 1, 'support_fraction': 0.99}",0.5138888888888888,0.5138888888888888,0.5138888888888888,0.05160199933581882,0.0003058844142489963
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'l2', 'n_neighbors': 20, 'novelty': True}",0.5115740740740741,0.5115740740740741,0.5115740740740741,0.004536761177910699,0.003888514306810167
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'minkowski', 'n_neighbors': 20, 'novelty': True}",0.5115740740740741,0.5115740740740741,0.5115740740740741,0.004592802789476182,0.004056400722927517
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'euclidean', 'n_neighbors': 20, 'novelty': True}",0.5115740740740741,0.5115740740740741,0.5115740740740741,0.004401352670457628,0.004278355174594455
"One-Class SVM: {'gamma': 0.1, 'kernel': 'poly', 'nu': 0.001}",0.5115740740740741,0.5115740740740741,0.5115740740740741,0.00033615695105658635,0.0002453260951571994
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'chebyshev', 'n_neighbors': 20, 'novelty': True}",0.5023148148148148,0.5023148148148148,0.5023148148148148,0.00430167383617825,0.004363543457455105
"One-Class SVM: {'gamma': 10.0, 'kernel': 'rbf', 'nu': 0.001}",0.5,0.5,0.5,0.00036038955052693683,0.00030533472696940106
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'correlation', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0008615454037984213,0.001277625560760498
"One-Class SVM: {'gamma': 1.0, 'kernel': 'rbf', 'nu': 0.001}",0.5,0.5,0.5,0.0004387100537618001,0.00025093555450439453
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'dice', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0008878840340508355,0.0009216864903767904
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'canberra', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.004334933227962918,0.0038883421156141493
