CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
"One-Class SVM: {'gamma': 0.01, 'kernel': 'sigmoid', 'nu': 0.001}",0.6365740740740741,0.6365740740740741,0.6365740740740741,0.00039128462473551434,0.0002512799368964301
"One-Class SVM: {'gamma': 'scale', 'kernel': 'sigmoid', 'nu': 0.001}",0.6180555555555556,0.6180555555555556,0.6180555555555556,0.0005546410878499349,0.00011214282777574327
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 1e-09, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 100, 'random_state': 1}",0.6018518518518519,0.6018518518518519,0.6018518518518519,0.20950735277599758,0.05024360285864936
"One-Class SVM: {'gamma': 0.1, 'kernel': 'sigmoid', 'nu': 0.001}",0.5972222222222222,0.5972222222222222,0.5972222222222222,0.000446213616265191,0.00014263391494750977
"One-Class SVM: {'gamma': 0.0001, 'kernel': 'linear', 'nu': 0.001}",0.5810185185185186,0.5810185185185186,0.5810185185185186,0.0004245903756883409,0.00011199712753295898
"One-Class SVM: {'gamma': 'scale', 'kernel': 'linear', 'nu': 0.001}",0.5810185185185186,0.5810185185185186,0.5810185185185186,0.0004204379187689887,0.0001960860358344184
"One-Class SVM: {'gamma': 0.001, 'kernel': 'linear', 'nu': 0.001}",0.5810185185185186,0.5810185185185186,0.5810185185185186,0.00030602349175347225,0.00016629695892333984
"One-Class SVM: {'gamma': 0.01, 'kernel': 'linear', 'nu': 0.001}",0.5810185185185186,0.5810185185185186,0.5810185185185186,0.00041791465547349717,0.00019559595319959853
"One-Class SVM: {'gamma': 0.1, 'kernel': 'linear', 'nu': 0.001}",0.5810185185185186,0.5810185185185186,0.5810185185185186,0.0004670421282450358,0.0001643432511223687
"One-Class SVM: {'gamma': 0.5, 'kernel': 'linear', 'nu': 0.001}",0.5810185185185186,0.5810185185185186,0.5810185185185186,0.00038621160719129775,0.00022197431988186308
"One-Class SVM: {'gamma': 1.0, 'kernel': 'linear', 'nu': 0.001}",0.5810185185185186,0.5810185185185186,0.5810185185185186,0.00038672818077935115,0.00016880697674221464
"One-Class SVM: {'gamma': 10.0, 'kernel': 'linear', 'nu': 0.001}",0.5810185185185186,0.5810185185185186,0.5810185185185186,0.00024720033009847003,0.0001398921012878418
"One-Class SVM: {'gamma': 5.0, 'kernel': 'linear', 'nu': 0.001}",0.5810185185185186,0.5810185185185186,0.5810185185185186,0.0005527536074320475,0.0001408060391743978
"One-Class SVM: {'gamma': 'auto', 'kernel': 'linear', 'nu': 0.001}",0.5810185185185186,0.5810185185185186,0.5810185185185186,0.0002511474821302626,0.00019394026862250434
"One-Class SVM: {'gamma': 'auto', 'kernel': 'sigmoid', 'nu': 0.001}",0.5601851851851852,0.5601851851851852,0.5601851851851852,0.00041555696063571505,0.00013265344831678603
"One-Class SVM: {'gamma': 5.0, 'kernel': 'poly', 'nu': 0.001}",0.5578703703703703,0.5578703703703703,0.5578703703703703,0.0004398028055826823,0.0001399252149793837
"One-Class SVM: {'gamma': 0.5, 'kernel': 'poly', 'nu': 0.001}",0.5532407407407408,0.5532407407407408,0.5532407407407408,0.0003674560123019748,0.00013791190253363716
"One-Class SVM: {'gamma': 1.0, 'kernel': 'sigmoid', 'nu': 0.001}",0.5532407407407408,0.5532407407407408,0.5532407407407408,0.0002797510888841417,0.00016511148876614042
"One-Class SVM: {'gamma': 10.0, 'kernel': 'poly', 'nu': 0.001}",0.5486111111111112,0.5486111111111112,0.5486111111111112,0.0005553497208489312,0.0002511276139153375
"One-Class SVM: {'gamma': 'scale', 'kernel': 'poly', 'nu': 0.001}",0.5439814814814814,0.5439814814814814,0.5439814814814814,0.0003623565038045247,0.00022351741790771484
"One-Class SVM: {'gamma': 'auto', 'kernel': 'poly', 'nu': 0.001}",0.537037037037037,0.537037037037037,0.537037037037037,0.00033594502343071834,0.00022412008709377714
"One-Class SVM: {'gamma': 0.5, 'kernel': 'sigmoid', 'nu': 0.001}",0.5347222222222222,0.5347222222222222,0.5347222222222222,0.0003840923309326172,0.0002145303620232476
"One-Class SVM: {'gamma': 1.0, 'kernel': 'poly', 'nu': 0.001}",0.5300925925925926,0.5300925925925926,0.5300925925925926,0.0006318489710489908,2.777576446533203e-05
"One-Class SVM: {'gamma': 10.0, 'kernel': 'sigmoid', 'nu': 0.001}",0.525462962962963,0.525462962962963,0.525462962962963,0.00025064415401882597,0.00010589096281263564
"One-Class SVM: {'gamma': 5.0, 'kernel': 'sigmoid', 'nu': 0.001}",0.5208333333333334,0.5208333333333334,0.5208333333333334,0.00032885207070244686,0.0001404947704739041
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'manhattan', 'n_neighbors': 20, 'novelty': True}",0.5208333333333334,0.5208333333333334,0.5208333333333334,0.0038038823339674207,0.0035553971926371255
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'cityblock', 'n_neighbors': 20, 'novelty': True}",0.5208333333333334,0.5208333333333334,0.5208333333333334,0.004134621885087755,0.003971371385786269
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'l1', 'n_neighbors': 20, 'novelty': True}",0.5208333333333334,0.5208333333333334,0.5208333333333334,0.004029677973853217,0.003915654288397895
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'chebyshev', 'n_neighbors': 20, 'novelty': True}",0.5115740740740741,0.5115740740740741,0.5115740740740741,0.0037222239706251356,0.00402783022986518
