CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'chebyshev', 'n_neighbors': 20, 'novelty': True}",0.8819444444444444,0.8819444444444444,0.8819444444444444,0.005501912699805366,0.005859547191196018
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'minkowski', 'n_neighbors': 20, 'novelty': True}",0.8310185185185186,0.8310185185185186,0.8310185185185186,0.006167497899797227,0.005862143304612901
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 1e-09, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 100, 'random_state': 1}",0.7152777777777778,0.7152777777777778,0.7152777777777778,0.20789114634195963,0.05166610744264391
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 1e-09, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 200, 'random_state': 1}",0.712962962962963,0.712962962962963,0.712962962962963,0.41322317388322616,0.1022081110212538
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 1e-09, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 150, 'random_state': 1}",0.7013888888888888,0.7013888888888888,0.7013888888888888,0.30883538060718113,0.07797165711720784
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 1e-09, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 50, 'random_state': 1}",0.6921296296296297,0.6921296296296297,0.6921296296296297,0.10793662071228027,0.026906126075320773
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'correlation', 'n_neighbors': 20, 'novelty': True}",0.6018518518518519,0.6018518518518519,0.6018518518518519,0.0028053058518303763,0.002999722957611084
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 0.001}",0.5231481481481481,0.5231481481481481,0.5231481481481481,0.0018001728587680394,0.0015798078642951117
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'dice', 'n_neighbors': 20, 'novelty': True}",0.5138888888888888,0.5138888888888888,0.5138888888888888,0.0027224752638075086,0.002807107236650255
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'jaccard', 'n_neighbors': 20, 'novelty': True}",0.5138888888888888,0.5138888888888888,0.5138888888888888,0.002528283331129286,0.002889057000478109
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'kulsinski', 'n_neighbors': 20, 'novelty': True}",0.5138888888888888,0.5138888888888888,0.5138888888888888,0.0026124384668138293,0.002581086423661974
Dummy,0.5,0.5,0.5,0.000248008304172092,8.32411977979872e-05
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'hamming', 'n_neighbors': 20, 'novelty': True}",0.5,0.5,0.5,0.0026385916603936087,0.0025835964414808485
"One-Class SVM: {'gamma': 0.01, 'kernel': 'sigmoid', 'nu': 0.001}",0.47685185185185186,0.47685185185185186,0.47685185185185186,0.0018615788883633083,0.0017534957991706
