CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
Dummy,0.0,0.0,0.0,0.0004358390230996034,0.0002802988710973095
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'hamming', 'n_neighbors': 20, 'novelty': True}",0.0,0.0,0.0,0.0007615083635601773,0.0006921468365616823
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'dice', 'n_neighbors': 20, 'novelty': True}",0.05078745001833696,0.05078745001833696,0.05078745001833696,0.0009133263915591022,0.0006690833785860879
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'jaccard', 'n_neighbors': 20, 'novelty': True}",0.05078745001833696,0.05078745001833696,0.05078745001833696,0.0005065479669635094,0.00103675911672821
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'kulsinski', 'n_neighbors': 20, 'novelty': True}",0.05078745001833696,0.05078745001833696,0.05078745001833696,0.0007263218215897863,0.0005532012832472808
"One-Class SVM: {'gamma': 0.01, 'kernel': 'rbf', 'nu': 0.001}",0.11021463747584972,0.11021463747584972,0.11021463747584972,0.0004543915844429893,0.0005587932417026082
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'chebyshev', 'n_neighbors': 20, 'novelty': True}",0.1265773494620005,0.1265773494620005,0.1265773494620005,0.0007715534652870216,0.0015713802078372928
"One-Class SVM: {'gamma': 0.01, 'kernel': 'sigmoid', 'nu': 0.001}",0.15380247989505724,0.15380247989505724,0.15380247989505724,0.0004842238946432159,0.0009104988961867509
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'minkowski', 'n_neighbors': 20, 'novelty': True}",0.17192434556992578,0.17192434556992578,0.17192434556992578,0.0010556898941618648,0.001017440696641371
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 1e-09, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 100, 'random_state': 1}",0.17635529613876208,0.17635529613876208,0.17635529613876208,0.020252853849003466,0.005221503018694338
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 1e-09, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 50, 'random_state': 1}",0.17797298310712598,0.17797298310712598,0.17797298310712598,0.0074031040550098055,0.005004010157094947
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 1e-09, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 200, 'random_state': 1}",0.20260647254233852,0.20260647254233852,0.20260647254233852,0.032295048892491275,0.016419312485654737
"Floresta de Isolamento: {'bootstrap': False, 'contamination': 1e-09, 'max_features': 0.75, 'max_samples': 0.5, 'n_estimators': 150, 'random_state': 1}",0.20737876550156334,0.20737876550156334,0.20737876550156334,0.029407016797919225,0.008149334211849683
"Local Outlier Factor (LOF): {'algorithm': 'auto', 'contamination': 'auto', 'leaf_size': 15, 'metric': 'correlation', 'n_neighbors': 20, 'novelty': True}",0.21465283073489716,0.21465283073489716,0.21465283073489716,0.0010098983578895253,0.0008621807501854294
