,CLASSIFICADOR,PRECISAO,REVOGACAO,F1,TREINAMENTO [s],TESTE [s] 
0,Dummy,0.5,0.5,0.5,0.002001047134399414,0.0
1,Dummy,0.5,0.5,0.5,0.0005559921264648438,0.0
2,Dummy,0.5,0.5,0.5,0.00099945068359375,0.0
3,Dummy,0.5,0.5,0.5,0.0010662078857421875,0.0
4,Dummy,0.5,0.5,0.5,0.0010066032409667969,0.0
5,Dummy,0.5,0.5,0.5,0.0,0.0
6,Dummy,0.5,0.5,0.5,0.000997304916381836,0.0
7,Dummy,0.5,0.5,0.5,0.0,0.0
8,Dummy,0.5,0.5,0.5,0.0,0.0
9,Dummy,0.5,0.5,0.5,0.0,0.0
10,Dummy,0.5,0.5,0.5,0.0,0.0
11,Dummy,0.5,0.5,0.5,0.0009970664978027344,0.0
12,Dummy,0.5,0.5,0.5,0.0,0.0
13,Dummy,0.5,0.5,0.5,0.0010006427764892578,0.0
14,Dummy,0.5,0.5,0.5,0.0009288787841796875,0.0
15,Dummy,0.5,0.5,0.5,0.0,0.0
16,Dummy,0.5,0.5,0.5,0.0,0.0
17,Dummy,0.5,0.5,0.5,0.0,0.0
18,Dummy,0.5,0.5,0.5,0.0010225772857666016,0.0
19,Dummy,0.5,0.5,0.5,0.001154184341430664,0.0005385875701904297
20,Dummy,0.5,0.5,0.5,0.0,0.0
21,Dummy,0.5,0.5,0.5,0.0009999275207519531,0.0
22,Dummy,0.5,0.5,0.5,0.0007948875427246094,0.0
23,Dummy,0.5,0.5,0.5,0.0009496212005615234,0.0
24,Dummy,0.5,0.5,0.5,0.0005528926849365234,0.0
25,Dummy,0.5,0.5,0.5,0.0,0.0
26,Dummy,0.5,0.5,0.5,0.0,0.0
27,Dummy,0.5,0.5,0.5,0.0,0.0
28,Dummy,0.5,0.5,0.5,0.0,0.0
29,Dummy,0.5,0.5,0.5,0.0,0.0
30,Dummy,0.5,0.5,0.5,0.0,0.0010018348693847656
31,Dummy,0.5,0.5,0.5,0.0,0.0
32,Dummy,0.5,0.5,0.5,0.0,0.0
33,Dummy,0.5,0.5,0.5,0.0005657672882080078,0.0
34,Dummy,0.5,0.5,0.5,0.0009989738464355469,0.0
35,Dummy,0.5,0.5,0.5,0.0,0.001007080078125
